date,close_price
2000-01-03,4131
2000-01-04,3902
2000-01-05,3878
2000-01-06,3727
2000-01-07,3883
2000-01-10,4050
2000-01-11,3921
2000-01-12,3850
2000-01-13,3957
2000-01-14,4064
2000-01-18,4131
2000-01-19,4151
2000-01-20,4190
2000-01-21,4235
2000-01-24,4096
2000-01-25,4167
2000-01-26,4070
2000-01-27,4040
2000-01-28,3887
2000-01-31,3940
2000-02-01,4052
2000-02-02,4074
2000-02-03,4211
2000-02-04,4244
2000-02-07,4322
2000-02-08,4428
2000-02-09,4363
2000-02-10,4486
2000-02-11,4395
2000-02-14,4419
2000-02-15,4421
2000-02-16,4428
2000-02-17,4549
2000-02-18,4412
2000-02-22,4382
2000-02-23,4550
2000-02-24,4618
2000-02-25,4590
2000-02-28,4578
2000-02-29,4697
2000-03-01,4784
2000-03-02,4755
2000-03-03,4915
2000-03-06,4905
2000-03-07,4848
2000-03-08,4897
2000-03-09,5047
2000-03-10,5049
2000-03-13,4907
2000-03-14,4707
2000-03-15,4583
2000-03-16,4717
2000-03-17,4798
2000-03-20,4610
2000-03-21,4712
2000-03-22,4865
2000-03-23,4941
2000-03-24,4963
2000-03-27,4959
2000-03-28,4834
2000-03-29,4645
2000-03-30,4458
2000-03-31,4573
2000-04-03,4224
2000-04-04,4149
2000-04-05,4169
2000-04-06,4268
2000-04-07,4446
2000-04-10,4188
2000-04-11,4056
2000-04-12,3770
2000-04-13,3677
2000-04-14,3321
2000-04-17,3539
2000-04-18,3794
2000-04-19,3706
2000-04-20,3644
2000-04-24,3482
2000-04-25,3711
2000-04-26,3630
2000-04-27,3774
2000-04-28,3861
2000-05-01,3958
2000-05-02,3785
2000-05-03,3707
2000-05-04,3720
2000-05-05,3817
2000-05-08,3669
2000-05-09,3585
2000-05-10,3385
2000-05-11,3500
2000-05-12,3529
2000-05-15,3608
2000-05-16,3718
2000-05-17,3645
2000-05-18,3539
2000-05-19,3390
2000-05-22,3364
2000-05-23,3165
2000-05-24,3271
2000-05-25,3205
2000-05-26,3205
2000-05-30,3459
2000-05-31,3401
2000-06-01,3582
2000-06-02,3813
2000-06-05,3822
2000-06-06,3756
2000-06-07,3839
2000-06-08,3826
2000-06-09,3875
2000-06-12,3768
2000-06-13,3851
2000-06-14,3797
2000-06-15,3846
2000-06-16,3861
2000-06-19,3990
2000-06-20,4013
2000-06-21,4064
2000-06-22,3937
2000-06-23,3845
2000-06-26,3912
2000-06-27,3859
2000-06-28,3940
2000-06-29,3877
2000-06-30,3966
2000-07-03,3992
2000-07-05,3863
2000-07-06,3961
2000-07-07,4023
2000-07-10,3980
2000-07-11,3956
2000-07-12,4100
2000-07-13,4175
2000-07-14,4246
2000-07-17,4275
2000-07-18,4177
2000-07-19,4056
2000-07-20,4185
2000-07-21,4094
2000-07-24,3982
2000-07-25,4030
2000-07-26,3988
2000-07-27,3842
2000-07-28,3663
2000-07-31,3767
2000-08-01,3686
2000-08-02,3658
2000-08-03,3760
2000-08-04,3787
2000-08-07,3863
2000-08-08,3849
2000-08-09,3854
2000-08-10,3760
2000-08-11,3789
2000-08-14,3850
2000-08-15,3852
2000-08-16,3861
2000-08-17,3941
2000-08-18,3930
2000-08-21,3953
2000-08-22,3958
2000-08-23,4011
2000-08-24,4053
2000-08-25,4043
2000-08-28,4071
2000-08-29,4082
2000-08-30,4104
2000-08-31,4206
2000-09-01,4234
2000-09-05,4143
2000-09-06,4013
2000-09-07,4098
2000-09-08,3978
2000-09-11,3896
2000-09-12,3850
2000-09-13,3894
2000-09-14,3914
2000-09-15,3835
2000-09-18,3727
2000-09-19,3866
2000-09-20,3897
2000-09-21,3829
2000-09-22,3804
2000-09-25,3741
