date,price
2024-09-23,144.84
2024-09-24,144.89
2024-09-25,152.89
2024-09-26,148.11
2024-09-27,155.47
2024-09-28,157.8
2024-09-29,156.96
2024-09-30,158.62
2024-10-01,152.54
2024-10-02,145.21
2024-10-03,140.45
2024-10-04,136.65
2024-10-05,143.16
2024-10-06,142.74
2024-10-07,146.35
2024-10-08,144.21
2024-10-09,143.43
2024-10-10,139.33
2024-10-11,138.76
2024-10-12,145.32
2024-10-13,146.58
2024-10-14,147.49
2024-10-15,157.35
2024-10-16,154.62
2024-10-17,154.26
2024-10-18,150.27
2024-10-19,155.07
2024-10-20,159.59
2024-10-21,166.57
2024-10-22,166.38
2024-10-23,167.21
2024-10-24,171.31
2024-10-25,177.37
2024-10-26,164.34
2024-10-27,170.56
2024-10-28,176.63
2024-10-29,178.14
2024-10-30,179.37
2024-10-31,175.08
2024-11-01,168.4
2024-11-02,166.29
2024-11-03,166.0
2024-11-04,162.67
2024-11-05,157.61
2024-11-06,166.51
2024-11-07,187.17
2024-11-08,196.2
2024-11-09,199.83
2024-11-10,200.17
2024-11-11,210.19
2024-11-12,222.64
2024-11-13,213.07
2024-11-14,215.08
2024-11-15,209.37
2024-11-16,219.09
2024-11-17,216.05
2024-11-18,237.47
2024-11-19,239.78
2024-11-20,237.91
2024-11-21,236.04
2024-11-22,257.25
2024-11-23,256.25
2024-11-24,254.7
2024-11-25,253.64
2024-11-26,234.54
2024-11-27,230.78
2024-11-28,242.47
2024-11-29,237.65
2024-11-30,243.7
2024-12-01,238.16
2024-12-02,237.55
2024-12-03,225.53
2024-12-04,234.99
2024-12-05,229.07
2024-12-06,237.3
2024-12-07,237.01
2024-12-08,238.89
2024-12-09,237.58
2024-12-10,217.62
2024-12-11,213.53
2024-12-12,227.07
2024-12-13,227.03
2024-12-14,224.6
2024-12-15,219.87
2024-12-16,224.54
2024-12-17,216.52
2024-12-18,222.74
2024-12-19,205.36
2024-12-20,194.9
2024-12-21,194.12
2024-12-22,181.03
2024-12-23,180.15
2024-12-24,189.84
2024-12-25,197.5
2024-12-26,197.36
2024-12-27,188.14
2024-12-28,183.75
2024-12-29,194.83
2024-12-30,189.93
2024-12-31,190.7
2025-01-01,189.45
2025-01-02,193.65
2025-01-03,207.88
2025-01-04,217.65
2025-01-05,216.68
2025-01-06,213.45
2025-01-07,218.42
2025-01-08,202.49
2025-01-09,197.45
2025-01-10,185.01
2025-01-11,187.82
2025-01-12,188.06
2025-01-13,188.39
2025-01-14,183.11
2025-01-15,187.7
2025-01-16,205.76
2025-01-17,211.23
2025-01-18,219.78
2025-01-19,262.56
2025-01-20,251.97
2025-01-21,242.47
2025-01-22,250.4
2025-01-23,256.11
2025-01-24,253.5
2025-01-25,253.63
2025-01-26,257.07
2025-01-27,241.07
2025-01-28,234.98
2025-01-29,226.89
2025-01-30,228.61
2025-01-31,239.05
2025-02-01,231.51
2025-02-02,214.46
2025-02-03,202.32
2025-02-04,215.95
2025-02-05,207.42
2025-02-06,196.22
2025-02-07,189.39
2025-02-08,192.27
2025-02-09,199.71
2025-02-10,200.45
2025-02-11,200.05
2025-02-12,197.93
2025-02-13,196.6
2025-02-14,194.26
2025-02-15,199.65
2025-02-16,194.43
2025-02-17,188.17
2025-02-18,177.92
2025-02-19,169.11
2025-02-20,169.26
2025-02-21,176.02
2025-02-22,169.0
2025-02-23,172.21
2025-02-24,168.09
2025-02-25,141.17
2025-02-26,144.36
2025-02-27,134.66
2025-02-28,137.61
2025-03-01,148.17
2025-03-02,143.4
2025-03-03,178.17
2025-03-04,142.51
2025-03-05,145.06
2025-03-06,146.18
2025-03-07,143.45
2025-03-08,139.18
2025-03-09,136.88
2025-03-10,126.63
2025-03-11,118.79
2025-03-12,125.43
2025-03-13,126.57
2025-03-14,123.24
2025-03-15,133.55
2025-03-16,135.84
2025-03-17,126.17
2025-03-18,128.28
2025-03-19,125.34
2025-03-20,135.62
2025-03-21,127.68
2025-03-22,128.24
2025-03-23,128.39
2025-03-24,132.1
2025-03-25,140.58
2025-03-26,143.93
2025-03-27,137.09
2025-03-28,138.38
2025-03-29,129.45
2025-03-30,124.5
2025-03-31,124.58
2025-04-01,124.87
2025-04-02,126.81
2025-04-03,118.09
2025-04-04,117.19
2025-04-05,122.71
2025-04-06,120.17
2025-04-07,105.77
2025-04-08,106.8
2025-04-09,105.49
2025-04-10,118.96
2025-04-11,112.89
2025-04-12,121.39
2025-04-13,132.15
2025-04-14,128.23
2025-04-15,129.42
2025-04-16,126.3
2025-04-17,131.48
2025-04-18,134.62
2025-04-19,133.98
2025-04-20,139.64
2025-04-21,137.63
2025-04-22,136.33
2025-04-23,148.8
2025-04-24,151.0
2025-04-25,152.33
2025-04-26,150.92
2025-04-27,149.15
2025-04-28,148.25
2025-04-29,147.99
2025-04-30,146.49
2025-05-01,147.73
2025-05-02,150.76
2025-05-03,147.97
2025-05-04,146.8
2025-05-05,143.98
2025-05-06,146.81
2025-05-07,146.91
2025-05-08,147.2
2025-05-09,163.42
2025-05-10,172.7
2025-05-11,177.34
2025-05-12,172.86
2025-05-13,174.42
2025-05-14,184.05
2025-05-15,176.46
2025-05-16,168.75
2025-05-17,167.77
2025-05-18,165.94
2025-05-19,171.54
2025-05-20,166.71
2025-05-21,168.39
2025-05-22,173.97
2025-05-23,179.58
2025-05-24,174.44
2025-05-25,176.0
2025-05-26,175.13
2025-05-27,174.72
2025-05-28,176.58
2025-05-29,172.12
2025-05-30,166.84
2025-05-31,156.51
2025-06-01,156.87
2025-06-02,157.63
2025-06-03,156.97
2025-06-04,155.58
2025-06-05,153.53
2025-06-06,144.55
2025-06-07,148.27
2025-06-08,150.08
2025-06-09,152.5
2025-06-10,161.16
2025-06-11,164.96
2025-06-12,161.02
2025-06-13,152.66
2025-06-14,148.53
2025-06-15,144.75
2025-06-16,152.68
2025-06-17,151.44
2025-06-18,147.99
2025-06-19,146.28
2025-06-20,147.1
2025-06-21,140.04
2025-06-22,133.71
2025-06-23,131.81
2025-06-24,144.78
2025-06-25,145.8
2025-06-26,143.37
2025-06-27,138.98
2025-06-28,142.13
2025-06-29,150.78
2025-06-30,153.32
2025-07-01,154.94
2025-07-02,146.84
2025-07-03,152.17
2025-07-04,152.28
2025-07-05,147.76
2025-07-06,147.6
2025-07-07,151.92
2025-07-08,148.79
2025-07-09,151.83
2025-07-10,157.21
2025-07-11,163.86
2025-07-12,162.75
2025-07-13,160.47
2025-07-14,161.24
2025-07-15,162.28
2025-07-16,163.97
2025-07-17,173.83
2025-07-18,176.1
2025-07-19,177.37
2025-07-20,176.91
2025-07-21,180.99
2025-07-22,196.42
2025-07-23,205.29
2025-07-24,189.59
2025-07-25,182.56
2025-07-26,186.17
2025-07-27,184.94
2025-07-28,188.58
2025-07-29,183.03
2025-07-30,181.17
2025-07-31,177.88
2025-08-01,172.16
2025-08-02,162.79
2025-08-03,158.53
2025-08-04,161.9
2025-08-05,169.42
2025-08-06,164.08
2025-08-07,168.17
2025-08-08,175.39
2025-08-09,176.8
2025-08-10,180.39
2025-08-11,182.91
2025-08-12,175.05
2025-08-13,192.59
