date,nasdaq,sp500,fear_greed
2000-01-03,4131.0,1455.0,
2000-01-04,3902.0,1399.0,
2000-01-05,3878.0,1402.0,
2000-01-06,3727.0,1403.0,
2000-01-07,3883.0,1441.0,
2000-01-10,4050.0,1458.0,
2000-01-11,3921.0,1439.0,
2000-01-12,3850.0,1432.0,
2000-01-13,3957.0,1450.0,
2000-01-14,4064.0,1465.0,
2000-01-18,4131.0,1455.0,
2000-01-19,4151.0,1456.0,
2000-01-20,4190.0,1446.0,
2000-01-21,4235.0,1441.0,
2000-01-24,4096.0,1402.0,
2000-01-25,4167.0,1410.0,
2000-01-26,4070.0,1404.0,
2000-01-27,4040.0,1399.0,
2000-01-28,3887.0,1360.0,
2000-01-31,3940.0,1394.0,
2000-02-01,4052.0,1409.0,
2000-02-02,4074.0,1409.0,
2000-02-03,4211.0,1425.0,
2000-02-04,4244.0,1424.0,
2000-02-07,4322.0,1424.0,
2000-02-08,4428.0,1442.0,
2000-02-09,4363.0,1412.0,
2000-02-10,4486.0,1417.0,
2000-02-11,4395.0,1387.0,
2000-02-14,4419.0,1390.0,
2000-02-15,4421.0,1402.0,
2000-02-16,4428.0,1388.0,
2000-02-17,4549.0,1388.0,
2000-02-18,4412.0,1346.0,
2000-02-22,4382.0,1352.0,
2000-02-23,4550.0,1361.0,
2000-02-24,4618.0,1353.0,
2000-02-25,4590.0,1333.0,
2000-02-28,4578.0,1348.0,
2000-02-29,4697.0,1366.0,
2000-03-01,4784.0,1379.0,
2000-03-02,4755.0,1382.0,
2000-03-03,4915.0,1409.0,
2000-03-06,4905.0,1391.0,
2000-03-07,4848.0,1356.0,
2000-03-08,4897.0,1367.0,
2000-03-09,5047.0,1402.0,
2000-03-10,5049.0,1395.0,
2000-03-13,4907.0,1384.0,
2000-03-14,4707.0,1359.0,
2000-03-15,4583.0,1392.0,
2000-03-16,4717.0,1458.0,
2000-03-17,4798.0,1464.0,
2000-03-20,4610.0,1457.0,
2000-03-21,4712.0,1494.0,
2000-03-22,4865.0,1501.0,
2000-03-23,4941.0,1527.0,
2000-03-24,4963.0,1527.0,
2000-03-27,4959.0,1524.0,
2000-03-28,4834.0,1508.0,
2000-03-29,4645.0,1509.0,
2000-03-30,4458.0,1488.0,
2000-03-31,4573.0,1499.0,
2000-04-03,4224.0,1506.0,
2000-04-04,4149.0,1495.0,
2000-04-05,4169.0,1487.0,
2000-04-06,4268.0,1501.0,
2000-04-07,4446.0,1516.0,
2000-04-10,4188.0,1504.0,
2000-04-11,4056.0,1501.0,
2000-04-12,3770.0,1467.0,
2000-04-13,3677.0,1441.0,
2000-04-14,3321.0,1357.0,
2000-04-17,3539.0,1401.0,
2000-04-18,3794.0,1442.0,
2000-04-19,3706.0,1427.0,
2000-04-20,3644.0,1435.0,
2000-04-24,3482.0,1430.0,
2000-04-25,3711.0,1477.0,
2000-04-26,3630.0,1461.0,
2000-04-27,3774.0,1465.0,
2000-04-28,3861.0,1452.0,
2000-05-01,3958.0,1468.0,
2000-05-02,3785.0,1446.0,
2000-05-03,3707.0,1415.0,
2000-05-04,3720.0,1410.0,
2000-05-05,3817.0,1433.0,
2000-05-08,3669.0,1424.0,
2000-05-09,3585.0,1412.0,
2000-05-10,3385.0,1383.0,
2000-05-11,3500.0,1408.0,
2000-05-12,3529.0,1421.0,
2000-05-15,3608.0,1452.0,
2000-05-16,3718.0,1466.0,
2000-05-17,3645.0,1448.0,
2000-05-18,3539.0,1437.0,
2000-05-19,3390.0,1407.0,
2000-05-22,3364.0,1401.0,
2000-05-23,3165.0,1374.0,
2000-05-24,3271.0,1399.0,
2000-05-25,3205.0,1382.0,
2000-05-26,3205.0,1378.0,
2000-05-30,3459.0,1422.0,
2000-05-31,3401.0,1421.0,
2000-06-01,3582.0,1449.0,
2000-06-02,3813.0,1477.0,
2000-06-05,3822.0,1468.0,
2000-06-06,3756.0,1458.0,
2000-06-07,3839.0,1471.0,
2000-06-08,3826.0,1462.0,
2000-06-09,3875.0,1457.0,
2000-06-12,3768.0,1446.0,
2000-06-13,3851.0,1469.0,
2000-06-14,3797.0,1471.0,
2000-06-15,3846.0,1479.0,
2000-06-16,3861.0,1464.0,
2000-06-19,3990.0,1486.0,
2000-06-20,4013.0,1476.0,
2000-06-21,4064.0,1479.0,
2000-06-22,3937.0,1452.0,
2000-06-23,3845.0,1441.0,
2000-06-26,3912.0,1455.0,
2000-06-27,3859.0,1451.0,
2000-06-28,3940.0,1455.0,
2000-06-29,3877.0,1442.0,
2000-06-30,3966.0,1455.0,
2000-07-03,3992.0,1470.0,
2000-07-05,3863.0,1446.0,
2000-07-06,3961.0,1457.0,
2000-07-07,4023.0,1479.0,
2000-07-10,3980.0,1476.0,
2000-07-11,3956.0,1481.0,
2000-07-12,4100.0,1493.0,
2000-07-13,4175.0,1496.0,
2000-07-14,4246.0,1510.0,
